metrica,metodo_a,metodo_b,numero_pares,media_a,media_b,mediana_a,mediana_b,diferencia_media_b_menos_a,diferencia_mediana_b_menos_a,estadistico_wilcoxon,p_wilcoxon,rank_biserial_signos_aprox,p_wilcoxon_holm,significativo_0_05_holm
clearance_total_percentil_5_m,A* + DWA,A* + TD3,200,0.2666894976018309,0.26487278256494085,0.28358455269789384,0.22370749075195762,-0.0018167150368900576,-0.01901649715226851,9263.0,0.3369173652079348,-0.12,0.5738396262978595,0
clearance_total_percentil_5_m,A* + DWA,A* + SAC-R,200,0.2666894976018309,0.40401657520603024,0.28358455269789384,0.37752237100727903,0.1373270776041994,0.12099088812370018,3766.0,1.7531347141451254e-14,0.45,1.577821242730613e-13,1
clearance_total_percentil_5_m,A* + DWA,A* + SAC-PO-TTC,200,0.2666894976018309,0.3734607018106634,0.28358455269789384,0.34330522349833065,0.10677120420883249,0.07382489321856373,4802.0,1.5190151191786966e-10,0.31,1.0633105834250876e-09,1
clearance_total_percentil_5_m,A* + DWA,A* + SAC-UPO-TTC,200,0.2666894976018309,0.3909226268380431,0.28358455269789384,0.37076497945237025,0.12423312923621221,0.10478282569783956,3748.0,1.4769671421679496e-14,0.49,1.4769671421679497e-13,1
clearance_total_percentil_5_m,A* + TD3,A* + SAC-R,200,0.26487278256494085,0.40401657520603024,0.22370749075195762,0.37752237100727903,0.13914379264108948,0.11593166777858246,4482.0,1.091363164506293e-11,0.36,8.730905316050343e-11,1
clearance_total_percentil_5_m,A* + TD3,A* + SAC-PO-TTC,200,0.26487278256494085,0.3734607018106634,0.22370749075195762,0.34330522349833065,0.10858791924572256,0.06496251485096827,5483.0,2.5108465668141837e-08,0.31,1.2554232834070918e-07,1
clearance_total_percentil_5_m,A* + TD3,A* + SAC-UPO-TTC,200,0.26487278256494085,0.3909226268380431,0.22370749075195762,0.37076497945237025,0.12604984427310226,0.08610458500506449,5044.0,1.0077875575964956e-09,0.33,6.046725345578973e-09,1
clearance_total_percentil_5_m,A* + SAC-R,A* + SAC-PO-TTC,200,0.40401657520603024,0.3734607018106634,0.37752237100727903,0.34330522349833065,-0.03055587339536693,-0.02315609973961677,7964.0,0.01091917072212478,-0.15,0.04367668288849912,1
clearance_total_percentil_5_m,A* + SAC-R,A* + SAC-UPO-TTC,200,0.40401657520603024,0.3909226268380431,0.37752237100727903,0.37076497945237025,-0.013093948367987197,-0.011893504510793407,9129.0,0.261107752091004,-0.08,0.5738396262978595,0
clearance_total_percentil_5_m,A* + SAC-PO-TTC,A* + SAC-UPO-TTC,200,0.3734607018106634,0.3909226268380431,0.34330522349833065,0.37076497945237025,0.017461925027379734,0.011032689930865966,8979.0,0.19127987543261982,0.04,0.5738396262978595,0
eventos_casi_colision_real,A* + DWA,A* + TD3,200,0.22,0.48,0.0,0.0,0.26,0.0,630.0,2.674125633574538e-07,0.6455696202531646,2.1393005068596304e-06,1
eventos_casi_colision_real,A* + DWA,A* + SAC-R,200,0.22,0.26,0.0,0.0,0.04,0.0,875.0,0.30852221689832515,0.1746031746031746,0.6170444337966503,0
eventos_casi_colision_real,A* + DWA,A* + SAC-PO-TTC,200,0.22,0.155,0.0,0.0,-0.065,0.0,504.5,0.15078697704385452,-0.2,0.5694766741039736,0
eventos_casi_colision_real,A* + DWA,A* + SAC-UPO-TTC,200,0.22,0.205,0.0,0.0,-0.015,0.0,684.5,0.9641598750677871,0.038461538461538464,0.9641598750677871,0
eventos_casi_colision_real,A* + TD3,A* + SAC-R,200,0.48,0.26,0.0,0.0,-0.22,0.0,649.0,4.141629285304706e-06,-0.5466666666666666,2.8991404997132945e-05,1
eventos_casi_colision_real,A* + TD3,A* + SAC-PO-TTC,200,0.48,0.155,0.0,0.0,-0.325,0.0,330.0,2.885905333130294e-11,-0.7922077922077922,2.885905333130294e-10,1
