semilla,metodo_a,resultado_a,metodo_b,resultado_b
170166,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170168,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170169,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170170,A* + TD3,meta,A* + SAC-PO-TTC,colision_dinamica
170172,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170173,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170174,A* + TD3,meta,A* + SAC-PO-TTC,colision_dinamica
170175,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170180,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170182,A* + TD3,meta,A* + SAC-PO-TTC,timeout
170186,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170193,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170012,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170013,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170016,A* + TD3,meta,A* + SAC-UPO-TTC,colision_estatica
170018,A* + TD3,meta,A* + SAC-UPO-TTC,colision_estatica
170020,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170021,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170026,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170030,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170032,A* + TD3,meta,A* + SAC-UPO-TTC,colision_estatica
170033,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170037,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170041,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170042,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170046,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170050,A* + TD3,meta,A* + SAC-UPO-TTC,fuera_mapa
170056,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170057,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170059,A* + TD3,meta,A* + SAC-UPO-TTC,colision_estatica
170060,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170063,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170070,A* + TD3,colision_estatica,A* + SAC-UPO-TTC,meta
170071,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170072,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
