condicion,semilla,metodo,numero_pasos_percepcion,numero_pasos_huella,huella_percepcion_primeros_pasos,latencia_pasos,sigma_posicion_m,sigma_velocidad_m_s,version_generador_ruido
incertidumbre_moderada,170025,A* + SAC-R,193,3,52fcf6e6815ea0f2afe9538ad3dd228162a1fd6cb213eb490299d5cb89ea5a4e,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170025,A* + SAC-PO-TTC,198,3,52fcf6e6815ea0f2afe9538ad3dd228162a1fd6cb213eb490299d5cb89ea5a4e,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170025,A* + SAC-UPO-TTC,192,3,52fcf6e6815ea0f2afe9538ad3dd228162a1fd6cb213eb490299d5cb89ea5a4e,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170026,A* + DWA,74,3,da9608e63adf746e90c3dc1c2d1d65b97ef701d406986e7932348c70a3734625,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170026,A* + TD3,157,3,da9608e63adf746e90c3dc1c2d1d65b97ef701d406986e7932348c70a3734625,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170026,A* + SAC-R,265,3,da9608e63adf746e90c3dc1c2d1d65b97ef701d406986e7932348c70a3734625,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170026,A* + SAC-PO-TTC,83,3,da9608e63adf746e90c3dc1c2d1d65b97ef701d406986e7932348c70a3734625,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170026,A* + SAC-UPO-TTC,265,3,da9608e63adf746e90c3dc1c2d1d65b97ef701d406986e7932348c70a3734625,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170027,A* + DWA,170,3,3b7d2d37200ff7938730288b52b47c2ebba800a0261714ddb47478217fa5bbbf,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170027,A* + TD3,176,3,3b7d2d37200ff7938730288b52b47c2ebba800a0261714ddb47478217fa5bbbf,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170027,A* + SAC-R,200,3,3b7d2d37200ff7938730288b52b47c2ebba800a0261714ddb47478217fa5bbbf,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170027,A* + SAC-PO-TTC,191,3,3b7d2d37200ff7938730288b52b47c2ebba800a0261714ddb47478217fa5bbbf,1,0.04,0.06,fase2_percepcion_comun_v1
