semilla,metodo_a,resultado_a,metodo_b,resultado_b
170050,A* + TD3,meta,A* + SAC-UPO-TTC,fuera_mapa
170057,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170059,A* + TD3,meta,A* + SAC-UPO-TTC,colision_estatica
170060,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170061,A* + TD3,meta,A* + SAC-UPO-TTC,timeout
170063,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170067,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170070,A* + TD3,colision_estatica,A* + SAC-UPO-TTC,meta
170071,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170073,A* + TD3,meta,A* + SAC-UPO-TTC,fuera_mapa
170074,A* + TD3,colision_estatica,A* + SAC-UPO-TTC,meta
170076,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170077,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170080,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170085,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170086,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170087,A* + TD3,meta,A* + SAC-UPO-TTC,colision_estatica
170089,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170093,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170097,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170099,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170102,A* + TD3,colision_estatica,A* + SAC-UPO-TTC,meta
170105,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170111,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170112,A* + TD3,meta,A* + SAC-UPO-TTC,fuera_mapa
170117,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170120,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170125,A* + TD3,meta,A* + SAC-UPO-TTC,colision_estatica
170129,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170130,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170134,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170139,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170140,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170143,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170148,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170149,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170152,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170154,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170155,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170156,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170160,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170161,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170162,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170163,A* + TD3,meta,A* + SAC-UPO-TTC,timeout
170166,A* + TD3,meta,A* + SAC-UPO-TTC,colision_estatica
170167,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170168,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170169,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170175,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170177,A* + TD3,meta,A* + SAC-UPO-TTC,colision_estatica
170181,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170182,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170184,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170186,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170192,A* + TD3,meta,A* + SAC-UPO-TTC,timeout
170194,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170006,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_dinamica
170014,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_estatica
170016,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_estatica
170017,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_estatica
170031,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170039,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170046,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170049,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_dinamica
170058,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170059,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_estatica
170063,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_dinamica
170064,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170074,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_estatica
170075,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170081,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_estatica
170089,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170102,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_estatica
170104,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170114,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170118,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_estatica
170133,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170136,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_estatica
170137,A* + SAC-R,timeout,A* + SAC-PO-TTC,meta
170142,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170147,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_estatica
170148,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_dinamica
170160,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170167,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170168,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170176,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170179,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170181,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170182,A* + SAC-R,meta,A* + SAC-PO-TTC,timeout
170184,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_estatica
170186,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170192,A* + SAC-R,timeout,A* + SAC-PO-TTC,meta
170198,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170006,A* + SAC-R,meta,A* + SAC-UPO-TTC,colision_dinamica
170012,A* + SAC-R,meta,A* + SAC-UPO-TTC,colision_dinamica
170013,A* + SAC-R,meta,A* + SAC-UPO-TTC,colision_estatica
170016,A* + SAC-R,meta,A* + SAC-UPO-TTC,colision_estatica
170018,A* + SAC-R,meta,A* + SAC-UPO-TTC,colision_estatica
